Model,N_dense,N_active,N_total,D1,D2,Loss
8x_44m,0.0442488,0.04425456,0.27653808,1.1534336,1.1534336,3.049423
8x_15m,0.01475168,0.01475456,0.09218912,0.4325376,0.4325376,3.345878
8x_0.1b,0.09832384,0.09833344,0.61449664,2.3068672,2.3068672,2.830237
8x_44m,0.0442488,0.04425456,0.27653808,2.3068672,0.8650752,3.020486
8x_15m,0.01475168,0.01475456,0.09218912,0.4325376,0.2883584,3.357425
8x_0.1b,0.09832384,0.09833344,0.61449664,1.7301504,1.1534336,2.887418
8x_15m,0.01475168,0.01475456,0.09218912,1.1534336,0.2883584,3.29119
8x_44m,0.0442488,0.04425456,0.27653808,0.8650752,0.8650752,3.099884
8x_15m,0.01475168,0.01475456,0.09218912,2.3068672,0.5767168,3.241526
8x_0.1b,0.09832384,0.09833344,0.61449664,9.2274688,2.3068672,2.755634
8x_44m,0.0442488,0.04425456,0.27653808,0.8650752,1.1534336,3.076725
8x_0.1b,0.09832384,0.09833344,0.61449664,9.2274688,1.1534336,2.768825
8x_44m,0.0442488,0.04425456,0.27653808,0.5767168,2.3068672,3.026499
8x_44m,0.0442488,0.04425456,0.27653808,4.6137344,0.8650752,2.980168
8x_0.1b,0.09832384,0.09833344,0.61449664,2.3068672,4.6137344,2.773625
8x_44m,0.0442488,0.04425456,0.27653808,2.3068672,0.5767168,3.026293
8x_0.1b,0.09832384,0.09833344,0.61449664,1.1534336,2.3068672,2.859478
8x_44m,0.0442488,0.04425456,0.27653808,0.8650752,2.3068672,3.024838
8x_0.1b,0.09832384,0.09833344,0.61449664,1.7301504,2.3068672,2.844234
8x_44m,0.0442488,0.04425456,0.27653808,0.5767168,1.1534336,3.098267
8x_0.1b,0.09832384,0.09833344,0.61449664,4.6137344,1.1534336,2.808587
8x_0.1b,0.09832384,0.09833344,0.61449664,2.3068672,1.7301504,2.846437
8x_0.1b,0.09832384,0.09833344,0.61449664,9.2274688,1.7301504,2.766052
8x_0.1b,0.09832384,0.09833344,0.61449664,1.1534336,4.6137344,2.777119
8x_0.1b,0.09832384,0.09833344,0.61449664,4.6137344,4.6137344,2.754998
8x_0.1b,0.09832384,0.09833344,0.61449664,1.7301504,1.7301504,2.866278
8x_0.1b,0.09832384,0.09833344,0.61449664,1.7301504,4.6137344,2.77936
8x_0.1b,0.09832384,0.09833344,0.61449664,4.6137344,1.7301504,2.800787
8x_0.1b,0.09832384,0.09833344,0.61449664,2.3068672,1.1534336,2.863359
8x_0.1b,0.09832384,0.09833344,0.61449664,1.1534336,1.1534336,2.91883
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,18.4549376,2.522631
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,9.2274688,2.613735
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,1.1534336,2.803483
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,2.3068672,2.758888
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,1.7301504,2.780598
8x_0.2b,0.23262304,0.232640512,1.453845952,2.3068672,4.6137344,2.693459
8x_0.1b,0.09832384,0.17207104,0.61449664,1.1534336,9.2274688,2.58475
8x_0.1b,0.09832384,0.17207104,0.61449664,1.7301504,9.2274688,2.581186
8x_0.1b,0.09832384,0.17207104,0.61449664,2.3068672,9.2274688,2.577041
8x_0.1b,0.09832384,0.17207104,0.61449664,4.6137344,9.2274688,2.567202
8x_0.1b,0.09832384,0.17207104,0.61449664,9.2274688,9.2274688,2.552076
8x_15m,0.01475168,0.02581664,0.09218912,0.2883584,2.3068672,3.053008
8x_44m,0.0442488,0.07743792,0.27653808,0.5767168,4.6137344,2.786402
8x_15m,0.01475168,0.02581664,0.09218912,0.4325376,2.3068672,3.046634
8x_15m,0.01475168,0.02581664,0.09218912,0.5767168,2.3068672,3.0418
8x_44m,0.0442488,0.07743792,0.27653808,0.8650752,4.6137344,2.781902
8x_15m,0.01475168,0.02581664,0.09218912,1.1534336,2.3068672,3.028641
8x_15m,0.01475168,0.02581664,0.09218912,2.3068672,2.3068672,3.017262
8x_0.2b,0.23262304,0.407098432,1.453845952,2.3068672,18.4549376,2.423687
8x_44m,0.0442488,0.07743792,0.27653808,1.1534336,4.6137344,2.77794
8x_44m,0.0442488,0.07743792,0.27653808,2.3068672,4.6137344,2.767467
8x_44m,0.0442488,0.07743792,0.27653808,4.6137344,4.6137344,2.75195
8x_0.2b,0.23262304,0.407098432,1.453845952,3.4603008,18.4549376,2.422986
8x_0.2b,0.23262304,0.407098432,1.453845952,4.6137344,18.4549376,2.419914
8x_0.2b,0.23262304,0.407098432,1.453845952,9.2274688,18.4549376,2.412818
